"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","total.sulfur.dioxide","pH","sulphates","alcohol","quality","type_wine"
"5842",5.9,0.22,0.29,4.2,0.037,144,3.13,0.74,10.8,7,0
"1910",6.1,0.36,0.27,2.1,0.035,100,3.4,0.71,11.5,7,0
"889",6.8,0.57,0,2.5,0.072,64,3.43,0.56,11.2,6,1
"2716",5.9,0.415,0.13,1.4,0.04,64,3.29,0.52,10.5,5,0
"1581",7.4,0.35,0.33,2.4,0.068,26,3.36,0.6,11.9,6,1
"1992",6.1,0.55,0.15,9.8,0.031,125,3.36,0.47,10.2,6,0
"1366",7.8,0.5,0.09,2.2,0.115,42,3.18,0.62,9.5,5,1
"3",7.8,0.76,0.04,2.3,0.092,54,3.26,0.65,9.8,5,1
"916",8.6,0.315,0.4,2.2,0.079,6,3.27,0.67,11.9,6,1
"2749",6.7,0.25,0.23,7.2,0.038,220,3.14,0.35,9.5,5,0
"3032",6.5,0.36,0.49,2.9,0.03,94,3.1,0.49,12.1,7,0
"4781",8.3,0.16,0.37,7.9,0.025,107,2.93,0.37,11.9,6,0
"4792",8.3,0.16,0.37,7.9,0.025,107,2.93,0.37,11.9,6,0
"294",6.9,0.36,0.25,2.4,0.098,16,3.41,0.6,10.1,6,1
"3757",8.5,0.25,0.27,4.7,0.031,92,3.01,0.33,12,6,0
"3763",8.5,0.25,0.27,4.7,0.031,92,3.01,0.33,12,6,0
"966",8.3,0.34,0.4,2.4,0.065,48,3.34,0.86,11,6,1
"4796",6.4,0.22,0.38,9.1,0.044,127,2.97,0.3,11,7,0
"4798",6.4,0.22,0.38,9.1,0.044,127,2.97,0.3,11,7,0
"4803",6.4,0.22,0.38,9.1,0.044,127,2.97,0.3,11,7,0
"2865",6.9,0.31,0.34,7.4,0.059,174,3.46,0.62,11.1,7,0
"74",8.3,0.675,0.26,2.1,0.084,43,3.31,0.53,9.2,4,1
"4841",5.8,0.3,0.42,1.1,0.036,113,3.1,0.46,12.6,7,0
"2906",6.8,0.24,0.4,1.8,0.047,105,3.13,0.49,12.8,8,0
"930",8.7,0.33,0.38,3.3,0.063,19,3.3,0.73,12,7,1
"3703",6,0.27,0.15,1.5,0.056,128,3.12,0.45,8.8,5,0
"4641",6.2,0.33,0.41,16.8,0.037,173,3.25,0.57,9.4,6,0
"261",7.9,0.33,0.23,1.7,0.077,45,3.29,0.65,9.3,5,1
"5789",6.4,0.21,0.21,5.1,0.097,105,3.07,0.46,9.6,5,0
"3268",7.9,0.18,0.33,1.2,0.033,72,3.12,0.38,10.5,7,0
"3049",6.9,0.19,0.49,6.6,0.036,172,3.2,0.27,11.5,6,0
"3066",6.9,0.19,0.49,6.6,0.036,172,3.2,0.27,11.5,6,0
"1755",7.4,0.24,0.42,14,0.066,198,2.89,0.42,8.9,6,0
"1756",7.4,0.24,0.42,14,0.066,198,2.89,0.42,8.9,6,0
"1763",7.4,0.24,0.42,14,0.066,198,2.89,0.42,8.9,6,0
"2241",6.1,0.28,0.25,12.9,0.054,189,3.25,0.43,9,4,0
"2666",6.4,0.3,0.51,5.5,0.048,172,3.08,0.45,9.1,6,0
"4825",6.6,0.33,0.4,2.65,0.041,86,3.11,0.39,13.3,7,0
"5425",6.7,0.46,0.21,4,0.034,88,3.26,0.54,13,6,0
"137",8.3,0.715,0.15,1.8,0.089,52,3.23,0.77,9.5,5,1
"142",8.3,0.715,0.15,1.8,0.089,52,3.23,0.77,9.5,5,1
"24",8.5,0.49,0.11,2.3,0.084,67,3.17,0.53,9.4,5,1
"2917",7,0.15,0.34,1.4,0.039,177,3.32,0.62,10.8,5,0
"3224",9,0.17,0.49,1,0.039,131,3.09,0.51,10.5,7,0
"5215",7.2,0.24,0.3,1.2,0.037,95,2.96,0.36,12.5,6,0
"5222",7.2,0.24,0.3,1.2,0.037,95,2.96,0.36,12.5,6,0
"3382",8.5,0.21,0.26,9.25,0.034,142,3.05,0.37,11.4,6,0
"3385",8.5,0.21,0.26,9.25,0.034,142,3.05,0.37,11.4,6,0
"2227",7,0.32,0.24,6.2,0.048,228,3.23,0.62,9.4,6,0
"2228",7,0.32,0.24,6.2,0.048,228,3.23,0.62,9.4,6,0
"2370",6.8,0.12,0.31,5.2,0.045,120,3.41,0.46,9.8,7,0
"6375",5,0.27,0.4,1.2,0.076,124,3.32,0.47,10.1,6,0
"252",7.1,0.6,0,1.8,0.074,34,3.47,0.7,9.9,6,1
"255",7.1,0.6,0,1.8,0.074,34,3.47,0.7,9.9,6,1
"2341",5.8,0.2,0.3,1.5,0.031,57,3.44,0.55,11,6,0
"1083",7.2,0.38,0.3,1.8,0.073,70,3.42,0.59,9.5,6,1
"1085",7.2,0.38,0.3,1.8,0.073,70,3.42,0.59,9.5,6,1
"1880",7,0.24,0.36,2.8,0.034,112,3.19,0.38,12.6,8,0
"2741",9.3,0.34,0.49,7.3,0.052,146,3.17,0.61,10.2,5,0
"6109",6.7,0.23,0.17,1.3,0.061,100,3.07,0.55,9.5,5,0
"2507",7.1,0.25,0.39,2.1,0.036,124,3.28,0.43,12.2,8,0
"5911",7.1,0.23,0.28,1.9,0.046,103,3.12,0.31,12,5,0
"2145",6.4,0.16,0.22,1.4,0.04,149,3.49,0.58,10,6,0
"4566",6.6,0.23,0.3,14.9,0.051,118,3.04,0.54,9,6,0
"4567",6.6,0.23,0.3,14.9,0.051,118,3.04,0.54,9,6,0
"4573",6.6,0.23,0.3,14.9,0.051,118,3.04,0.54,9,6,0
"4201",6.2,0.26,0.32,15.3,0.031,185,3.31,0.61,9.4,5,0
"4142",8.9,0.27,0.34,10.7,0.029,166,3.13,0.48,10.6,5,0
"6269",5.9,0.44,0.33,1.2,0.049,117,3.46,0.44,11.5,5,0
"1243",9,0.4,0.41,2,0.058,40,3.22,0.6,12.2,6,1
"3153",6.9,0.3,0.49,7.6,0.057,156,3.43,0.63,11,7,0
"1400",7.2,0.67,0,2.2,0.068,24,3.42,0.72,11.1,6,1
"3917",7.5,0.24,0.62,10.6,0.045,153,3.16,0.44,8.8,5,0
"4915",5.8,0.18,0.37,1.2,0.036,74,3.09,0.49,12.7,7,0
"6132",5.8,0.12,0.21,1.3,0.056,121,3.32,0.33,11.4,6,0
"5224",6.6,0.36,0.28,6.1,0.029,93,3.19,0.27,12.8,7,0
"5871",6.9,0.42,0.2,15.4,0.043,201,3.08,0.54,9.4,5,0
"256",8,0.57,0.23,3.2,0.073,119,3.26,0.57,9.3,5,1
"623",10,0.58,0.22,1.9,0.08,32,3.13,0.55,9.5,5,1
"3832",8.4,0.2,0.31,2.8,0.054,89,2.96,0.45,9.5,6,0
"2536",6.4,0.43,0.32,1.4,0.048,67,3.08,0.41,11.4,5,0
"1946",5.6,0.34,0.1,1.3,0.031,68,3.36,0.51,11.2,7,0
"1813",6.7,0.13,0.29,5.3,0.051,122,3.44,0.37,9.7,6,0
"1307",9.7,0.69,0.32,2.5,0.088,91,3.29,0.62,10.1,5,1
"1309",9.7,0.69,0.32,2.5,0.088,91,3.29,0.62,10.1,5,1
"958",9.5,0.37,0.52,2,0.088,51,3.29,0.58,11.1,6,1
"4191",6.7,0.34,0.3,8.5,0.059,152,3.46,0.64,11,7,0
"2118",5.9,0.13,0.28,1.9,0.05,78,3.43,0.64,10.8,6,0
"5306",6.6,0.15,0.34,1,0.037,79,2.96,0.5,11.7,6,0
"3209",8.1,0.2,0.49,11.8,0.048,212,3.09,0.46,10,7,0
"72",7.7,0.67,0.23,2.1,0.088,96,3.32,0.48,9.5,5,1
"4699",6.7,0.34,0.4,2.1,0.033,111,2.97,0.48,12.2,7,0
"2306",6.2,0.31,0.21,6.3,0.041,218,3.15,0.6,10,5,0
"3152",7.3,0.21,0.49,1.8,0.038,152,3.32,0.44,12.6,7,0
"5829",6.3,0.26,0.25,5.2,0.046,133,2.97,0.68,11,6,0
"5647",6.9,0.19,0.35,13.5,0.038,118,3,0.63,10.7,6,0
"5648",6.9,0.19,0.35,13.5,0.038,118,3,0.63,10.7,6,0
"5658",6.9,0.19,0.35,13.5,0.038,118,3,0.63,10.7,6,0
"4557",6.4,0.12,0.3,1.1,0.031,94,3.01,0.56,11.7,6,0
"5543",6.4,0.2,0.15,6.6,0.046,113,2.99,0.58,9.9,6,0
"5523",8.6,0.31,0.3,0.9,0.045,109,2.95,0.39,10.1,5,0
"5524",8.6,0.31,0.3,0.9,0.045,109,2.95,0.39,10.1,5,0
"1310",7,0.62,0.1,1.4,0.071,63,3.28,0.61,9.2,5,1
"854",9.3,0.36,0.39,1.5,0.08,55,3.47,0.73,10.9,6,1
"855",9.3,0.36,0.39,1.5,0.08,55,3.47,0.73,10.9,6,1
"857",9.3,0.36,0.39,1.5,0.08,55,3.47,0.73,10.9,6,1
"694",9,0.48,0.32,2.8,0.084,122,3.32,0.62,9.4,5,1
"4731",6.3,0.35,0.26,17.6,0.061,198,3.11,0.49,8.8,5,0
"7",7.9,0.6,0.06,1.6,0.069,59,3.3,0.46,9.4,5,1
"3258",6.6,0.31,0.49,7.7,0.05,220,3.12,0.45,8.8,5,0
"4081",6.4,0.37,0.37,4.85,0.041,216.5,3.1,0.5,9.8,6,0
"4632",6.7,0.14,0.46,1.6,0.036,92,3.37,0.49,10.9,5,0
"3522",7,0.12,0.19,4.9,0.055,127,3.29,0.41,9.4,5,0
"1612",7.9,0.18,0.37,1.2,0.04,75,3.18,0.63,10.8,5,0
"5073",6.5,0.3,0.27,4,0.038,97,3.2,0.6,12.6,8,0
"5080",6.5,0.3,0.27,4,0.038,97,3.2,0.6,12.6,8,0
"811",7.3,0.49,0.1,2.6,0.068,14,3.3,0.47,10.5,5,1
"6279",4.7,0.335,0.14,1.3,0.036,168,3.47,0.46,10.5,5,0
"2100",7.2,0.28,0.54,16.7,0.045,200,3.08,0.49,9.5,6,0
"4583",6,0.26,0.32,3.8,0.029,180,3.15,0.34,12,6,0
"6142",6.9,0.28,0.37,9.1,0.037,76,3.05,0.54,11.1,5,0
"6143",6.9,0.28,0.37,9.1,0.037,76,3.05,0.54,11.1,5,0
"6149",6.9,0.28,0.37,9.1,0.037,76,3.05,0.54,11.1,5,0
"2190",7.1,0.31,0.5,14.5,0.059,148,2.94,0.44,9.1,5,0
"4131",6.7,0.54,0.27,7.1,0.049,178,3.16,0.38,9.4,4,0
"4132",6.7,0.54,0.27,7.1,0.049,178,3.16,0.38,9.4,4,0
"746",7.3,0.51,0.18,2.1,0.07,28,3.52,0.73,9.5,6,1
"750",7.3,0.51,0.18,2.1,0.07,28,3.52,0.73,9.5,6,1
"1316",7.5,0.63,0.27,2,0.083,91,3.26,0.58,9.8,6,1
"1319",7.5,0.63,0.27,2,0.083,91,3.26,0.58,9.8,6,1
"5845",7.6,0.35,0.47,13.3,0.037,116,3.04,0.5,9.2,5,0
"4517",7.1,0.36,0.4,1.95,0.033,118,3.2,0.45,13.5,7,0
"5922",7.4,0.16,0.33,1.2,0.042,121,3.04,0.68,10.5,7,0
"1512",7.1,0.69,0.04,2.1,0.068,27,3.44,0.67,9.8,5,1
"2224",6,0.36,0.06,1.4,0.066,128,3.26,0.55,9.3,5,0
"5401",8.3,0.18,0.3,1.1,0.033,57,3.02,0.51,11,6,0
"5405",8.3,0.18,0.3,1.1,0.033,57,3.02,0.51,11,6,0
"4722",5.6,0.18,0.27,1.7,0.03,103,3.35,0.37,12.9,6,0
"5107",7.1,0.36,0.28,2.4,0.036,115,3.19,0.44,13.5,7,0
"222",7.4,0.53,0.26,2,0.101,72,3.15,0.57,9.4,5,1
"2381",7.8,0.29,0.22,9.5,0.056,213,3.08,0.61,9.3,6,0
"4919",5.1,0.21,0.28,1.4,0.047,148,3.5,0.49,10.4,5,0
"248",8.2,0.6,0.17,2.3,0.072,73,3.2,0.45,9.3,5,1
"2297",7.5,0.31,0.51,14.8,0.039,204,3.06,0.6,9.5,5,0
"2298",7.5,0.31,0.51,14.8,0.039,204,3.06,0.6,9.5,5,0
"5248",7.3,0.31,0.25,6.65,0.032,138,2.9,0.37,11.1,5,0
"2481",8.8,0.36,0.44,1.9,0.04,121,3.19,0.48,9.9,6,0
"5394",5.5,0.24,0.45,1.7,0.046,113,3.22,0.48,10,5,0
"2150",7,0.3,0.51,13.6,0.05,168,3.07,0.52,9.6,7,0
"2153",7,0.3,0.51,13.6,0.05,168,3.07,0.52,9.6,7,0
"861",7.2,0.62,0.06,2.7,0.077,85,3.51,0.54,9.5,5,1
"865",7.2,0.62,0.06,2.7,0.077,85,3.51,0.54,9.5,5,1
"4276",7.6,0.1,0.33,1,0.031,93,3.06,0.68,11.2,6,0
"5704",6.9,0.45,0.27,4.7,0.035,80,3.12,0.36,12.5,7,0
"2102",6.4,0.3,0.3,2.25,0.038,210,3.2,0.62,9.9,6,0
"437",8,0.67,0.3,2,0.06,62,3.26,0.56,10.2,6,1
"3472",5.8,0.33,0.2,16.05,0.047,166,3.09,0.46,8.9,5,0
"3473",5.8,0.33,0.2,16.05,0.047,166,3.09,0.46,8.9,5,0
"2249",7.1,0.26,0.34,14.4,0.067,189,3.07,0.53,9.1,7,0
"2250",7.1,0.26,0.34,14.4,0.067,189,3.07,0.53,9.1,7,0
"2251",7.1,0.26,0.34,14.4,0.067,189,3.07,0.53,9.1,7,0
"2252",7.1,0.26,0.34,14.4,0.067,189,3.07,0.53,9.1,7,0
"687",7.1,0.65,0.18,1.8,0.07,40,3.44,0.6,9.1,5,1
"5129",7.1,0.35,0.27,3.1,0.034,134,3.26,0.38,13.1,7,0
"1197",7.9,0.58,0.23,2.3,0.076,94,3.21,0.58,9.5,6,1
"1200",7.9,0.58,0.23,2.3,0.076,94,3.21,0.58,9.5,6,1
"3713",5.7,0.33,0.15,1.9,0.05,93,3.38,0.62,9.9,5,0
"2397",6.9,0.24,0.33,12.5,0.046,153,3.28,0.77,9.6,6,0
"184",6.8,0.61,0.2,1.8,0.077,65,3.54,0.58,9.3,5,1
"221",7.8,0.34,0.37,2,0.082,58,3.34,0.59,9.4,6,1
"6015",6.3,0.305,0.22,16,0.061,141,3.08,0.5,9.1,5,0
"61",8.8,0.4,0.4,2.2,0.079,52,3.44,0.64,9.2,5,1
"1579",6.8,0.67,0.15,1.8,0.118,20,3.42,0.67,11.3,6,1
"2745",6.8,0.32,0.18,7.5,0.041,223,3.14,0.41,8.9,5,0
"2751",6.8,0.32,0.18,7.5,0.041,223,3.14,0.41,8.9,5,0
"3250",7.6,0.31,0.49,3.95,0.044,131,3.08,0.67,12.8,7,0
"3604",7.4,0.26,0.31,2.4,0.043,178,3.42,0.68,10.6,6,0
"605",8.3,0.58,0.13,2.9,0.096,63,3.17,0.62,9.1,6,1
"1130",10.5,0.43,0.35,3.3,0.092,70,3.21,0.69,10.5,6,1
"2274",6.4,0.32,0.5,10.7,0.047,206,3.08,0.6,9.4,5,0
"3115",7.3,0.155,0.49,1.3,0.039,136,3.14,0.77,10.5,6,0
"4797",7.9,0.34,0.44,6.5,0.027,126,2.96,0.37,12.5,6,0
"4801",7.9,0.34,0.44,6.5,0.027,126,2.96,0.37,12.5,6,0
"864",7.2,0.62,0.06,2.5,0.078,84,3.51,0.53,9.7,5,1
"3310",8.1,0.31,0.24,1.6,0.032,67,3.08,0.47,10.5,5,0
"2195",6.3,0.27,0.38,0.9,0.051,140,3.45,0.5,10.5,7,0
"2887",8.3,0.21,0.4,1.6,0.032,110,3.02,0.6,12.9,7,0
"2971",8.3,0.26,0.41,9.2,0.042,162,3.1,0.38,12,7,0
"1680",6.8,0.22,0.31,1.4,0.053,114,3.39,0.77,10.6,6,0
"720",7.1,0.66,0,3.9,0.086,45,3.46,0.54,9.5,5,1
"3915",7.7,0.42,0.38,8.1,0.061,144,3.4,0.58,11,6,0
"928",8.4,0.67,0.19,2.2,0.093,75,3.2,0.59,9.2,4,1
"2750",6.9,0.32,0.17,7.6,0.042,219,3.13,0.4,8.9,5,0
"1226",9.2,0.46,0.23,2.6,0.091,77,3.15,0.51,9.4,5,1
"3363",7.3,0.21,0.3,10.9,0.037,112,3.4,0.5,9.6,6,0
"6147",5.9,0.29,0.32,1.4,0.022,47,3.35,0.35,11.5,6,0
"1535",6.6,0.56,0.14,2.4,0.064,29,3.42,0.62,11.7,7,1
"1449",6.9,0.58,0.01,1.9,0.08,54,3.4,0.73,9.7,5,1
"591",9,0.45,0.49,2.6,0.084,75,3.35,0.57,9.7,5,1
"593",9,0.45,0.49,2.6,0.084,75,3.35,0.57,9.7,5,1
"4006",7.9,0.44,0.26,4.45,0.033,100,3.17,0.52,12.7,6,0
"6270",6.6,0.285,0.49,11.4,0.035,137,3.08,0.54,8.9,6,0
"6278",6.6,0.285,0.49,11.4,0.035,137,3.08,0.54,8.9,6,0
"1397",8.7,0.675,0.1,1.6,0.09,11,3.31,0.65,9.55,5,1
"5621",7,0.23,0.42,1.1,0.062,100,3.04,0.4,9.2,5,0
"1678",7.4,0.18,0.3,8.8,0.064,103,2.94,0.56,9.3,5,0
"22",7.6,0.39,0.31,2.3,0.082,71,3.52,0.65,9.7,5,1
"3091",7.5,0.2,0.49,1.3,0.031,97,3.06,0.62,11.1,5,0
"3816",7.8,0.3,0.37,1.3,0.051,96,3.32,0.62,10,5,0
"3380",8.4,0.17,0.31,5.4,0.052,150,3.24,0.38,9.8,5,0
"1893",6.2,0.28,0.22,7.3,0.041,157,3.44,0.64,9.8,7,0
"2646",6.5,0.19,0.1,1.3,0.046,107,3.29,0.45,10,5,0
"5011",6,0.14,0.17,5.6,0.036,127,3.05,0.57,9.8,6,0
"172",8,0.42,0.17,2,0.073,18,3.29,0.61,9.2,6,1
"173",8,0.42,0.17,2,0.073,18,3.29,0.61,9.2,6,1
"4380",6.2,0.235,0.34,1.9,0.036,117,3.4,0.44,12.2,5,0
"2258",6.6,0.27,0.25,3.1,0.052,188,3.24,0.4,11.3,5,0
"3334",6.9,0.16,0.3,9.6,0.057,185,3.39,0.38,9.6,6,0
"3337",6.9,0.16,0.3,9.6,0.057,185,3.39,0.38,9.6,6,0
"1113",7.9,0.33,0.41,1.5,0.056,35,3.29,0.71,11,6,1
"5798",7.9,0.36,0.53,12.9,0.049,139,2.94,0.45,9.1,5,0
"3450",7.1,0.25,0.25,1.6,0.046,181,3.2,0.42,11,7,0
"2956",7.3,0.22,0.41,15.4,0.05,191,3.32,0.59,8.9,6,0
"2968",7.3,0.22,0.41,15.4,0.05,191,3.32,0.59,8.9,6,0
"872",6.9,0.56,0.03,1.5,0.086,46,3.53,0.57,10.6,5,1
"1353",7.6,0.645,0.03,1.9,0.086,57,3.37,0.46,10.3,5,1
"1354",7.6,0.645,0.03,1.9,0.086,57,3.37,0.46,10.3,5,1
"5941",7.4,0.27,0.52,15.7,0.054,139,3.04,0.62,10.0333333333333,6,0
"2367",6.8,0.2,0.36,1.6,0.028,46,3.21,0.6,10.9,6,0
"1843",6.8,0.24,0.34,2.7,0.047,218.5,3.3,0.58,9.7,6,0
"5531",6.2,0.3,0.28,1.6,0.036,106,3.14,0.41,13.3,6,0
"2391",5.9,0.24,0.3,2,0.033,92,3.39,0.69,10.9,7,0
"2393",5.9,0.24,0.3,2,0.033,92,3.39,0.69,10.9,7,0
"4782",5.5,0.12,0.33,1,0.038,131,3.25,0.45,9.8,5,0
"4793",5.5,0.12,0.33,1,0.038,131,3.25,0.45,9.8,5,0
"3201",8.2,0.34,0.49,8,0.046,223,3.08,0.52,10.7,6,0
"5015",6.1,0.3,0.3,2.1,0.031,163,3.39,0.43,12.7,7,0
"5019",6.1,0.3,0.3,2.1,0.031,163,3.39,0.43,12.7,7,0
"3722",6.9,0.26,0.33,12.6,0.051,173,3.39,0.38,9.9,5,0
"4645",5.7,0.12,0.26,5.5,0.034,99,3.09,0.57,9.9,6,0
"3217",6.2,0.2,0.49,1.6,0.065,143,3.22,0.52,9.2,6,0
"4905",6.3,0.19,0.29,2,0.022,96,3.04,0.54,12.8,7,0
"71",7.7,0.63,0.08,1.9,0.076,27,3.32,0.54,9.5,6,1
"5179",7.4,0.25,0.28,7.25,0.028,78,2.94,0.37,11.5,7,0
"5184",7.4,0.25,0.28,7.25,0.028,78,2.94,0.37,11.5,7,0
"3212",7.8,0.26,0.49,3.2,0.027,87,3.03,0.32,11.3,7,0
"3220",7.8,0.26,0.49,3.2,0.027,87,3.03,0.32,11.3,7,0
"5326",4.8,0.17,0.28,2.9,0.03,111,3.38,0.34,11.3,7,0
"5953",7.4,0.16,0.3,1.4,0.064,166,3.11,0.42,11.4333333333333,6,0
"1531",6.6,0.44,0.09,2.2,0.063,18,3.42,0.69,11.3,6,1
"2630",7.1,0.2,0.41,2.1,0.054,166,3.48,0.62,10.5,6,0
"1129",10,0.43,0.33,2.7,0.095,89,3.22,0.68,10,5,1
"2201",7.2,0.24,0.4,1.4,0.045,106,2.88,0.38,10.8,6,0
"1534",8,0.39,0.3,1.9,0.074,84,3.39,0.61,9,5,1
"2897",7.3,0.42,0.38,6.8,0.045,122,3.19,0.37,12.6,7,0
"5473",7.6,0.37,0.51,11.7,0.094,181,2.91,0.51,9,5,0
"1454",7.6,0.49,0.33,1.9,0.074,85,3.41,0.58,9,5,1
"1458",7.6,0.49,0.33,1.9,0.074,85,3.41,0.58,9,5,1
"866",7.2,0.635,0.07,2.6,0.077,86,3.51,0.54,9.7,5,1
"31",6.7,0.675,0.07,2.4,0.089,82,3.35,0.54,10.1,5,1
"4863",6.5,0.26,0.31,3.6,0.03,92,3.22,0.62,12.6,8,0
"867",6.8,0.49,0.22,2.3,0.071,24,3.41,0.83,11.3,6,1
"547",7.5,0.55,0.24,2,0.078,28,3.45,0.78,9.5,6,1
"3440",6.9,0.18,0.33,1,0.054,164,3.42,0.51,10.5,5,0
"3068",6.5,0.24,0.24,1.6,0.046,60,3.19,0.39,9.8,5,0
"4050",6.6,0.56,0.15,10,0.037,157,3.28,0.52,9.4,5,0
"4051",6.6,0.56,0.15,10,0.037,157,3.28,0.52,9.4,5,0
"3444",6.1,0.34,0.46,4.7,0.029,94,3.29,0.62,12.3,6,0
"3451",6.1,0.34,0.46,4.7,0.029,94,3.29,0.62,12.3,6,0
"461",9.2,0.43,0.52,2.3,0.083,23,3.35,0.61,11.3,6,1
"5308",7.7,0.35,0.46,11.8,0.088,183,2.86,0.47,9,5,0
"4954",5.9,0.2,0.28,12.8,0.038,132,3.31,0.57,11.8,7,0
"2049",6.4,0.28,0.29,1.6,0.052,127,3.48,0.56,10.5,7,0
"2054",6.4,0.28,0.29,1.6,0.052,127,3.48,0.56,10.5,7,0
"6211",5.9,0.42,0.36,2.4,0.034,77,3.25,0.48,10.9,5,0
"1084",8.7,0.42,0.45,2.4,0.072,59,3.33,0.77,12,6,1
"2693",8.4,0.17,0.31,6.7,0.038,132,3.1,0.32,10.6,7,0
"613",7.5,0.64,0,2.4,0.077,29,3.32,0.6,10,6,1
"2217",7.8,0.26,0.27,1.9,0.051,195,3.23,0.5,10.9,6,0
"2765",6,0.24,0.32,6.3,0.03,129,3.52,0.41,10.4,5,0
"1383",8,0.6,0.22,2.1,0.08,105,3.3,0.49,9.9,5,1
"1384",8,0.6,0.22,2.1,0.08,105,3.3,0.49,9.9,5,1
"1520",6.6,0.7,0.08,2.6,0.106,27,3.44,0.58,10.2,5,1
"2377",7.2,0.23,0.19,13.7,0.052,197,3.12,0.53,9,5,0
"2384",7.2,0.23,0.19,13.7,0.052,197,3.12,0.53,9,5,0
"4476",6.4,0.22,0.31,13.9,0.04,135,3.21,0.38,10.7,5,0
"1211",6.8,0.65,0.02,2.1,0.078,15,3.35,0.62,10.4,6,1
"1213",6.8,0.65,0.02,2.1,0.078,15,3.35,0.62,10.4,6,1
"6157",6.1,0.37,0.46,12,0.042,210,3.17,0.59,9.7,6,0
"68",6.6,0.705,0.07,1.6,0.076,15,3.44,0.58,10.7,5,1
"5917",6.7,0.34,0.26,1.9,0.038,138,3,0.47,12.2,7,0
"3101",8.3,0.2,0.49,1.7,0.04,169,3.05,0.37,10.1,5,0
"3119",8.3,0.2,0.49,1.7,0.04,169,3.05,0.37,10.1,5,0
"596",8.9,0.595,0.41,7.9,0.086,109,3.27,0.57,9.3,5,1
"886",8.9,0.75,0.14,2.5,0.086,30,3.34,0.64,10.5,5,1
"2566",6.5,0.34,0.28,1.8,0.041,188,3.13,0.37,9.6,6,0
"2602",6.4,0.28,0.43,7.1,0.045,221,3.09,0.45,9.4,6,0
"6031",6.6,0.38,0.28,2.8,0.043,67,3.21,0.47,13.2,6,0
"1428",7.6,0.41,0.33,2.5,0.078,23,3.3,0.58,11.2,5,1
"6284",6,0.24,0.34,1,0.036,184,3.44,0.44,11.45,6,0
"962",7.1,0.56,0.14,1.6,0.078,18,3.27,0.62,9.3,5,1
"4899",6.8,0.32,0.32,8.7,0.029,105,3,0.34,12.3,7,0
"3642",5.6,0.13,0.27,4.8,0.028,104,3.34,0.45,9.2,6,0
"868",6.9,0.51,0.23,2,0.072,22,3.4,0.84,11.2,6,1
"3213",8,0.14,0.49,1.5,0.035,120,3.26,0.4,10.6,7,0
"1174",7.6,0.36,0.31,1.7,0.079,65,3.46,0.62,9.5,6,1
"1175",7.6,0.36,0.31,1.7,0.079,65,3.46,0.62,9.5,6,1
"2853",7.3,0.25,0.41,1.8,0.037,165,3.29,0.39,12.2,7,0
"4965",7.6,0.2,0.26,4.8,0.033,76,2.98,0.49,12.3,7,0
"386",7.4,0.63,0.07,2.4,0.09,37,3.43,0.76,9.7,6,1
"2848",7.2,0.18,0.31,1.1,0.045,73,3.32,0.4,10.8,7,0
"848",7.4,0.68,0.16,1.8,0.078,39,3.5,0.7,9.9,6,1
"5363",6.7,0.39,0.24,2.7,0.017,80,3.03,0.37,11.5,5,0
"3506",6,0.28,0.35,1.9,0.037,120,3.16,0.69,10.6,5,0
"5995",6.6,0.24,0.22,12.3,0.051,146,3.1,0.67,9.4,5,0
"5999",6.6,0.24,0.22,12.3,0.051,146,3.1,0.67,9.4,5,0
"727",8.1,0.72,0.09,2.8,0.084,49,3.43,0.72,11.1,6,1
"230",6.9,0.52,0.25,2.6,0.081,37,3.46,0.5,11,5,1
"234",6.9,0.52,0.25,2.6,0.081,37,3.46,0.5,11,5,1
"3042",8,0.25,0.49,1.2,0.061,117,3.08,0.34,9.4,5,0
"2138",6.1,0.24,0.3,1.5,0.045,61,3.31,0.54,10.4,5,0
"249",7.7,0.53,0.06,1.7,0.074,39,3.35,0.48,9.8,6,1
"55",7.6,0.51,0.15,2.8,0.11,73,3.17,0.63,10.2,6,1
"6271",4.9,0.335,0.14,1.3,0.036,168,3.47,0.46,10.4666666666667,5,0
"6272",4.9,0.335,0.14,1.3,0.036,168,3.47,0.46,10.4666666666667,5,0
"5700",6.3,0.29,0.23,14.2,0.037,99,3.08,0.38,10.6,6,0
"42",8.8,0.61,0.3,2.8,0.088,46,3.26,0.51,9.3,4,1
"4457",6.6,0.29,0.31,3.9,0.027,96,3.24,0.6,12.6,8,0
"1272",7.3,0.44,0.2,1.6,0.049,64,3.38,0.57,11.7,6,1
"3686",8.2,0.17,0.32,1.5,0.05,101,3.14,0.58,9.5,5,0
"1092",7.9,0.34,0.42,2,0.086,19,3.35,0.6,11.4,6,1
"4045",6.6,0.34,0.34,2.6,0.051,210,3.15,0.61,10,5,0
"467",10.3,0.5,0.42,2,0.069,51,3.16,0.72,11.5,6,1
"663",7.2,0.57,0.06,1.6,0.076,27,3.36,0.7,9.6,6,1
"5010",8.9,0.3,0.35,4.6,0.032,148,3.15,0.45,11.5,7,0
"5014",8.9,0.3,0.35,4.6,0.032,148,3.15,0.45,11.5,7,0
"1570",6.2,0.51,0.14,1.9,0.056,34,3.48,0.57,11.5,6,1
"3672",6.6,0.23,0.27,5.6,0.043,164,3.27,0.76,9.5,5,0
